	id	date	country	segment	sex	pangolin_lineage	variant
0	hCoV-19/Wuhan/IVDC-HB-01/2019	2019-12-30	China	genome	Female	B	Primal
1	hCoV-19/England/CAMC-B082DA/2020	2020-10-29	United Kingdom	genome	unknown	B.1.1.7	Alpha
2	hCoV-19/England/CAMC-B0B231/2020	2020-10-29	United Kingdom	genome	unknown	B.1.1.7	Alpha
3	hCoV-19/England/CAMC-B0B222/2020	2020-10-29	United Kingdom	genome	unknown	B.1.1.7	Alpha
4	hCoV-19/England/CAMC-B0B7AB/2020	2020-10-30	United Kingdom	genome	unknown	B.1.1.7	Alpha
5	hCoV-19/England/CAMC-B075D2/2020	2020-10-30	United Kingdom	genome	unknown	B.1.1.7	Alpha
6	hCoV-19/England/MILK-B38A42/2020	2020-10-31	United Kingdom	genome	unknown	B.1.1.7	Alpha
7	hCoV-19/England/MILK-B3C325/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
8	hCoV-19/England/MILK-B3DE23/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
9	hCoV-19/England/MILK-B3C862/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
10	hCoV-19/England/MILK-B3C668/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
11	hCoV-19/England/MILK-B3D791/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
12	hCoV-19/England/MILK-B3D5B5/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
13	hCoV-19/England/MILK-B39416/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
14	hCoV-19/England/MILK-B38F9E/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
15	hCoV-19/England/MILK-B39F51/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
16	hCoV-19/England/MILK-B38E64/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
17	hCoV-19/England/MILK-B386A8/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
18	hCoV-19/England/CAMC-B21E31/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
19	hCoV-19/England/OXON-F84A34/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
20	hCoV-19/England/MILK-B3B836/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
21	hCoV-19/England/MILK-B39C1E/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
22	hCoV-19/England/MILK-B3B2CF/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
23	hCoV-19/England/MILK-B3B7C0/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
24	hCoV-19/England/MILK-B3B520/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
25	hCoV-19/England/MILK-B3B739/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
26	hCoV-19/England/MILK-B3B784/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
27	hCoV-19/England/MILK-B3981A/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
28	hCoV-19/England/MILK-B38ECE/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
29	hCoV-19/England/MILK-B38963/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
30	hCoV-19/England/MILK-B38E82/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
31	hCoV-19/England/MILK-B38954/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
32	hCoV-19/England/ALDP-B1F74A/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
33	hCoV-19/England/CAMC-B216B1/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
34	hCoV-19/England/CAMC-B21693/2020	2020-11-01	United Kingdom	genome	unknown	B.1.1.7	Alpha
35	hCoV-19/England/CAMC-B21587/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
36	hCoV-19/England/CAMC-B20C1A/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
37	hCoV-19/England/CAMC-B20A6B/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
38	hCoV-19/England/CAMC-B215A5/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
39	hCoV-19/England/QEUH-B2F950/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
40	hCoV-19/England/CAMC-B209F5/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
41	hCoV-19/England/CAMC-B2243E/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
42	hCoV-19/England/CAMC-B22656/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
43	hCoV-19/England/CAMC-B22708/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
44	hCoV-19/England/CAMC-B21EAA/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
45	hCoV-19/England/MILK-B39021/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
46	hCoV-19/England/CAMC-B1FFAC/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
47	hCoV-19/England/QEUH-B12D90/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
48	hCoV-19/England/CAMC-B20BE0/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
49	hCoV-19/England/CAMC-B223AA/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
50	hCoV-19/England/CAMC-B22A96/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
51	hCoV-19/England/CAMC-B2100E/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
52	hCoV-19/England/MILK-B3DFC6/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
53	hCoV-19/England/MILK-B3C52F/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
54	hCoV-19/England/MILK-B3BA30/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
55	hCoV-19/England/MILK-B3BAA9/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
56	hCoV-19/England/MILK-B3E332/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
57	hCoV-19/England/CAMC-B227AE/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
58	hCoV-19/England/MILK-B3D5D3/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
59	hCoV-19/England/MILK-B3D667/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
60	hCoV-19/England/MILK-B3B818/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
61	hCoV-19/England/MILK-B3BB79/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
62	hCoV-19/England/MILK-B3C291/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
63	hCoV-19/England/MILK-B3B775/2020	2020-11-02	United Kingdom	genome	unknown	B.1.1.7	Alpha
64	hCoV-19/England/CAMC-B235C1/2020	2020-11-03	United Kingdom	genome	unknown	B.1.1.7	Alpha
65	hCoV-19/England/QEUH-B2DE35/2020	2020-11-03	United Kingdom	genome	unknown	B.1.1.7	Alpha
66	hCoV-19/England/CAMC-B21F3E/2020	2020-11-03	United Kingdom	genome	unknown	B.1.1.7	Alpha
67	hCoV-19/England/CAMC-B3284E/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
68	hCoV-19/England/CAMC-B36507/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
69	hCoV-19/England/CAMC-B35614/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
70	hCoV-19/England/MILK-B55A5E/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
71	hCoV-19/England/CAMC-B33BAE/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
72	hCoV-19/England/CAMC-B323F2/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
73	hCoV-19/England/CAMC-B32A1B/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
74	hCoV-19/England/CAMC-B3283F/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
75	hCoV-19/England/MILK-B559BB/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
76	hCoV-19/England/CAMC-B322C8/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
77	hCoV-19/England/CAMC-B3423F/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
78	hCoV-19/England/CAMC-B3334C/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
79	hCoV-19/England/CAMC-B3332E/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
80	hCoV-19/England/CAMC-B324D1/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
81	hCoV-19/England/CAMC-B32626/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
82	hCoV-19/England/CAMC-B361F4/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
83	hCoV-19/England/CAMC-B3633A/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
84	hCoV-19/England/CAMC-B3236B/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
85	hCoV-19/England/CAMC-B3333D/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
86	hCoV-19/England/CAMC-B361D6/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
87	hCoV-19/England/CAMC-B324E0/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
88	hCoV-19/England/CAMC-B333C4/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
89	hCoV-19/England/CAMC-B35553/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
90	hCoV-19/England/CAMC-B331BB/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
91	hCoV-19/England/MILK-B554E7/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
92	hCoV-19/England/CAMC-B35FEC/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
93	hCoV-19/England/CAMC-B35FBF/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
94	hCoV-19/England/CAMC-B363FE/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
95	hCoV-19/England/CAMC-B36288/2020	2020-11-05	United Kingdom	genome	unknown	B.1.1.7	Alpha
96	hCoV-19/England/MILK-B59D24/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
97	hCoV-19/England/MILK-B55D46/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
98	hCoV-19/England/MILK-B5606A/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
99	hCoV-19/England/MILK-B598D8/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
100	hCoV-19/England/MILK-B5A707/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
101	hCoV-19/England/MILK-B5AAA4/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
102	hCoV-19/England/CAMC-B37C5C/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
103	hCoV-19/England/MILK-B59E7C/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
104	hCoV-19/England/MILK-B55D64/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
105	hCoV-19/England/CAMC-B37C6B/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
106	hCoV-19/England/CAMC-B344B1/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
107	hCoV-19/England/CAMC-B51F71/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
108	hCoV-19/England/CAMC-B35104/2020	2020-11-06	United Kingdom	genome	unknown	B.1.1.7	Alpha
109	hCoV-19/England/OXON-F89D36/2020	2020-11-07	United Kingdom	genome	unknown	B.1.1.7	Alpha
110	hCoV-19/England/CAMC-B536E3/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
111	hCoV-19/England/CAMC-B533CE/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
112	hCoV-19/England/ALDP-B620D4/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
113	hCoV-19/England/CAMC-B538DE/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
114	hCoV-19/England/CAMC-B5265D/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
115	hCoV-19/England/CAMC-B525BA/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
116	hCoV-19/England/CAMC-B53425/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
117	hCoV-19/England/CAMC-B533EC/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
118	hCoV-19/England/CAMC-B52374/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
119	hCoV-19/England/CAMC-B54415/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
120	hCoV-19/England/CAMC-B541D2/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
121	hCoV-19/England/CAMC-B52523/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
122	hCoV-19/England/CAMC-B53416/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
123	hCoV-19/England/CAMC-B528DF/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
124	hCoV-19/England/CAMC-B5118A/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
125	hCoV-19/England/CAMC-B547FE/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
126	hCoV-19/England/CAMC-B52480/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
127	hCoV-19/England/CAMC-B514EB/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
128	hCoV-19/England/ALDP-B5CA39/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
129	hCoV-19/England/CAMC-B5158E/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
130	hCoV-19/England/CAMC-B52189/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
131	hCoV-19/England/ALDP-B5C95A/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
132	hCoV-19/England/CAMC-B53337/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
133	hCoV-19/England/CAMC-B533BF/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
134	hCoV-19/England/CAMC-B527E1/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
135	hCoV-19/England/CAMC-B53364/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
136	hCoV-19/England/ALDP-B5C8F3/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
137	hCoV-19/England/CAMC-B53373/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
138	hCoV-19/England/OXON-FA0BB7/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
139	hCoV-19/England/QEUH-B6628F/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
140	hCoV-19/England/QEUH-B3FA78/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
141	hCoV-19/England/CAMC-B5181C/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
142	hCoV-19/England/CAMC-B51A34/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
143	hCoV-19/England/CAMC-B51A25/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
144	hCoV-19/England/CAMC-B51700/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
145	hCoV-19/England/ALDP-B5C8C6/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
146	hCoV-19/England/ALDP-B5CA75/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
147	hCoV-19/England/ALDP-B5C7C9/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
148	hCoV-19/England/CAMC-B5207D/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
149	hCoV-19/England/CAMC-B52004/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
150	hCoV-19/England/ALDP-B5B8C7/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
151	hCoV-19/England/ALDP-B5B4D2/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
152	hCoV-19/England/ALDP-B5B180/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
153	hCoV-19/England/ALDP-B6214A/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
154	hCoV-19/England/CAMC-B5348F/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
155	hCoV-19/England/CAMC-B5381A/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
156	hCoV-19/England/CAMC-B523B0/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
157	hCoV-19/England/CAMC-B543EB/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
158	hCoV-19/England/CAMC-B542A2/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
159	hCoV-19/England/ALDP-B5DDA8/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
160	hCoV-19/England/ALDP-B5C88A/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
161	hCoV-19/England/CAMC-B5120F/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
162	hCoV-19/England/CAMC-B518D0/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
163	hCoV-19/England/ALDP-B63DDC/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
164	hCoV-19/England/ALDP-B5B41E/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
165	hCoV-19/England/CAMC-B5355F/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
166	hCoV-19/England/CAMC-B53601/2020	2020-11-08	United Kingdom	genome	unknown	B.1.1.7	Alpha
167	hCoV-19/England/CAMC-B54961/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
168	hCoV-19/England/CAMC-B5455E/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
169	hCoV-19/England/CAMC-B51BF5/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
170	hCoV-19/England/CAMC-B51C89/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
171	hCoV-19/England/CAMC-B540E4/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
172	hCoV-19/England/ALDP-B5DBDB/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
173	hCoV-19/England/ALDP-B5DC23/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
174	hCoV-19/England/ALDP-B5DCBA/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
175	hCoV-19/England/LOND-1250FD2/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
176	hCoV-19/England/ALDP-B5C25F/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
177	hCoV-19/England/ALDP-B5C671/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
178	hCoV-19/England/CAMC-B531B5/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
179	hCoV-19/England/ALDP-B5C69F/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
180	hCoV-19/England/ALDP-B5D27C/2020	2020-11-09	United Kingdom	genome	unknown	B.1.1.7	Alpha
181	hCoV-19/England/LOND-1327C45/2020	2020-11-10	United Kingdom	genome	unknown	B.1.1.7	Alpha
182	hCoV-19/Scotland/CVR5788/2020	2020-11-10	United Kingdom	genome	unknown	B.1.1.7	Alpha
183	hCoV-19/England/QEUH-B6C73F/2020	2020-11-10	United Kingdom	genome	unknown	B.1.1.7	Alpha
184	hCoV-19/England/CAMC-B788C4/2020	2020-11-10	United Kingdom	genome	unknown	B.1.1.7	Alpha
185	hCoV-19/England/ALDP-B5BB91/2020	2020-11-10	United Kingdom	genome	unknown	B.1.1.7	Alpha
186	hCoV-19/England/QEUH-B6C6AB/2020	2020-11-10	United Kingdom	genome	unknown	B.1.1.7	Alpha
187	hCoV-19/England/CAMC-B779B3/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
188	hCoV-19/England/CAMC-B7892B/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
189	hCoV-19/England/CAMC-B7882E/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
190	hCoV-19/England/CAMC-B775EC/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
191	hCoV-19/England/CAMC-B775CE/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
192	hCoV-19/England/CAMC-B77591/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
193	hCoV-19/England/CAMC-B78509/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
194	hCoV-19/England/CAMC-B78800/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
195	hCoV-19/England/CAMC-B77607/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
196	hCoV-19/England/CAMC-B784FD/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
197	hCoV-19/England/CAMC-B785BE/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
198	hCoV-19/England/OXON-F8B6DF/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
199	hCoV-19/England/CAMC-B78466/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
200	hCoV-19/Scotland/EDB11087/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
201	hCoV-19/England/CAMC-B78439/2020	2020-11-11	United Kingdom	genome	unknown	B.1.1.7	Alpha
202	hCoV-19/England/204661721/2020	2020-11-11	United Kingdom	genome	Female	B.1.1.7	Alpha
203	hCoV-19/England/ALDP-B734D4/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
204	hCoV-19/England/CAMC-B782B7/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
205	hCoV-19/England/CAMC-B782D5/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
206	hCoV-19/England/CAMC-B7834B/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
207	hCoV-19/England/ALDP-B747CB/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
208	hCoV-19/England/CAMC-B7AB7E/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
209	hCoV-19/England/CAMC-B774B2/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
210	hCoV-19/England/CAMC-B78660/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
211	hCoV-19/England/CAMC-B77C7E/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
212	hCoV-19/England/CAMC-B77AFC/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
213	hCoV-19/England/CAMC-B78211/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
214	hCoV-19/England/CAMC-B77B08/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
215	hCoV-19/England/CAMC-B78633/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
216	hCoV-19/England/CAMC-B781AB/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
217	hCoV-19/England/CAMC-B78035/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
218	hCoV-19/England/CAMC-B77B9F/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
219	hCoV-19/England/CAMC-B7AE39/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
220	hCoV-19/England/CAMC-B79131/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
221	hCoV-19/England/CAMC-B77467/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
222	hCoV-19/England/CAMC-B7828A/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
223	hCoV-19/England/CAMC-B7818D/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
224	hCoV-19/England/CAMC-B78369/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
225	hCoV-19/England/CAMC-B7A59E/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
226	hCoV-19/England/CAMC-B7B5AC/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
227	hCoV-19/England/ALDP-B74A3B/2020	2020-11-12	United Kingdom	genome	unknown	B.1.1.7	Alpha
